"MDS1","MDS2","MDS3"
-15.3021110732936,58.3267181978561,-7.89683263960748
-39.6666162690423,45.6465453215702,-28.2175466355916
-56.4586520181238,38.6717248735438,-9.84976320392111
-75.4638597493925,31.5196252356409,3.51113473482322
-80.3260304021775,28.1578115324413,16.5025182564375
-85.3770620114764,25.3877377908795,28.6128570879289
-77.985746350414,36.9480681003955,40.0055826104751
22.1553058918237,51.015909942749,-14.2953077260134
-4.63261797256422,26.9184807064425,-32.6532592670512
-36.9890931801064,14.6856156063386,-34.7437602812421
-59.6826272931863,2.2528151886761,-21.5408824789051
-81.5829099266403,8.84343072880519,-6.1688359438907
-82.3270215677599,8.9302045654079,12.5298852435279
-81.9108267174355,14.8491699334778,23.2119660312083
39.9752361786803,40.4127491158694,-17.8308470151801
26.5956376855084,22.3289295955852,-34.916154017234
-2.6642282037811,-7.11663871439269,-35.5913007622169
-29.9387869159415,-19.321805964582,-31.4083498598495
-50.6257513139293,-24.9840670424339,-17.6427742068103
-69.591782379895,-18.6439133982875,2.24354340259754
-69.9890306875988,-12.9282383079329,11.5315404415985
57.3631240371212,39.4982239837793,-3.52952147546396
53.1011693009356,21.8534697661328,-22.0628555021934
36.5153751219418,-11.3297549011242,-25.7905839534307
19.8321313882864,-32.6162533892367,-32.3292361201564
-18.8316750484456,-45.3896095312928,-20.0160109856658
-34.5996528975269,-36.1889011311683,-4.17025554606972
-52.4697630748098,-31.4918607364791,12.3843924480947
65.9904184276071,46.7688257452376,14.9128872710885
66.7679436512055,17.9065337065487,-5.77072324551589
68.58904430152,-12.1858679470728,-13.2240630792027
39.5232422816504,-34.9694315502918,-14.4301895321175
9.77940667516506,-48.3059639593103,-7.83181213330907
-7.97210108253808,-52.4908178920616,10.7123776202095
-29.1470099179957,-45.5727013711254,5.96999390812169
64.2824831114308,49.1589386653916,36.3755113401919
73.8336825416843,26.4063196914806,17.7377416110898
66.5960758425511,-2.28492538916755,-0.300481054139207
53.6263363362969,-31.5444377154141,-1.68911194854816
38.5159409845902,-44.7664750589221,-3.92458936503881
11.7916991632661,-53.2003619482481,21.0400353191017
-3.25272987518197,-41.7014535785252,30.55777413207
51.2299670364876,38.0420448973961,34.879883477325
63.8537386461119,29.9126778276218,22.3814470643672
71.6188674569046,7.75053309976995,14.1387850171136
61.1699908662472,-22.1237117194023,14.0439092913334
40.5798591802685,-32.0276868979374,9.82478962122801
31.5043533352728,-39.7489661257281,28.707365178567
11.9966564866987,-31.2592595489007,36.0091268698659
